slot,proposer_index,node_address,mev_fee_recipients,fee_recipient
5215381,465133,0x46f543ab65DA23B4C61436DB11e05676ACF6b206,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5219329,449981,0x68d3081e20321c2386d038B688b045093f647e87,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5224424,405593,0x46f543ab65DA23B4C61436DB11e05676ACF6b206,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5225720,422796,0x02523F5c440f09ae533600CfC0999ce30df2a523,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5228170,260563,0x996D774e75955DF92d56a0aA148AAF76bd3C7ADf,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5228735,411470,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5237477,296880,0x5945459c5201e21Ff409C9608600D0c0d5f91635,,0x33894ea0C25295cB48068019d999A9E190540BF7
5238499,435227,0xCde1fe0664Cad959106c6e562bf3F3625cbd5b44,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5238695,399082,0x2b6fCa9AD7EBd5408dB009f0DF087Ffd934cF98e,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5243027,474791,0xcf893845C90Ede75106Bbcd402EFC792F6C5b4BF,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5244540,292266,0x8630eE161EF00dE8E70F19Bf5fE5a06046898990,,0x0000000000000000000000000000000000000000
5245452,265934,0x5d8172792a9e649053c07366E3a7C24a37F0C534,,0x0000000000000000000000000000000000000000
5246827,412451,0xDb7C387Aa3750C33aC17e388D1471aFe6b1964a6,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5247171,344589,0x47179647c0671567625fECd7F6c107A74Cf3E788,,0xae78736Cd615f374D3085123A210448E74Fc6393
5248441,267523,0x8d6B5AA8755FbD93dd02c1Fbebd7A5C4cB3c7E8C,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5249938,441827,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5252845,313348,0x9e43d1a488a2b3E0d5Bf8e0f4201b057f5Bb4391,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990
5257511,344589,0x47179647c0671567625fECd7F6c107A74Cf3E788,,0xae78736Cd615f374D3085123A210448E74Fc6393
5258101,415808,0x751683968FD078341C48B90bC657d6bAbc2339F7,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5264891,260898,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5273971,268561,0x75224e800636c3D397bADb4D7c544e09aDDd8E0A,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5276501,261372,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5280794,418453,0xDF1aa393D35EdB09E48D5d8f7dbdF82f9e3684ef,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5280909,263516,0x751683968FD078341C48B90bC657d6bAbc2339F7,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5281329,441827,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5282988,429405,0xd3C7c34E80bee3977B0b60c835a29e0DC14F4b7d,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990
5289599,263521,0x751683968FD078341C48B90bC657d6bAbc2339F7,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5290012,393342,0xd1892d3B28BB175eA4BCeCc85a1Aa364cE57E1CA,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5293373,416914,0x78ae61c6E2919231CDF0B69C6d8b70119Fe82539,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5295813,262313,0xdd3F37bc351aBb08ECCc1b225610F770eB621a24,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5296222,261265,0xaEc3cbeA266D12911630ce5DFB58975F8B9d43Fc,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5297907,425956,0x47179647c0671567625fECd7F6c107A74Cf3E788,,0xae78736Cd615f374D3085123A210448E74Fc6393
